url,title,summary,datePublished,dateAdded,authorName,authorUrl
https://aramzs.xyz/essays/the-internet-is-a-series-of-webs/,The Internet is a Series of Webs,,2024-06-08,2025-02-02,Aram Zucker-Scharff,https://aramzs.xyz/
https://vickiboykis.com/2024/09/19/dead-internet-souls/,Dead Internet Souls,,2024-09-19,2025-02-02,Vicki Boykis,https://vickiboykis.com/
https://sheep.horse/2024/4/save_the_web_by_being_nice.html,Save the Web by Being Nice,,2024-04-30,2024-05-27,Andrew Stephens,https://sheep.horse/
https://www.citationneeded.news/we-can-have-a-different-web/,We can have a different web,,2024-05-01,2024-05-27,Molly White,https://www.citationneeded.news/
https://chowder3108.substack.com/p/is-the-internet-dead-are-we,Is the internet dead? Are we?,,2024-01-02,2024-05-27,Chowder 3108 ,https://chowder3108.substack.com/
https://humanewebmanifesto.com/,Manifesto for a Humane Web,,2024-04-06,2024-05-27,Michelle Barker,https://michellebarker.co.uk/
https://jeffhuang.com/designed_to_last/,This Page is Designed to Last,,2019-12-19,2024-05-27,Jeff Huang,https://jeffhuang.com/
https://tenderbuttons.substack.com/p/the-life-and-times-of-a-personal,The life and times of a personal website,,2022-11-17,2024-05-27,Rebecca Mqamelo,https://www.rebeccamqamelo.com/
https://novum.substack.com/p/the-internet-is-like-a-city,The Internet Is Like a City (But Not in the Way You'd Think),,2024-05-01,2024-05-27,Anton Cebalo ,https://www.antoncebalo.com/
https://defector.com/the-internet-isnt-meant-to-be-so-small,The Internet Isn’t Meant To Be So Small,,2023-05-01,2024-05-27,Kelsey McKinney,https://www.kelseymckinney.com/
https://goblin-heart.net/sadgrl/cyberspace/internet-manifesto,Internet manifesto,,unknown,2024-05-27,sadgrl.online,https://goblin-heart.net/sadgrl/
https://thebaffler.com/salvos/404-page-not-found-wagner,404 Page Not Found,,2019-01-07,2024-05-27,Kate Wagner,https://www.thenation.com/authors/kate-wagner/
https://goodmode.neocities.org/babble/impersonalweb,The Impersonal Web,,unknown,2024-05-27,Goodmode,https://goodmode.tumblr.com/
https://tedium.co/2023/07/08/threads-social-media-brand-safety,Let The Internet Be Grimy,,2023-07-08,2024-05-27,Ernie Smith,https://erniesmith.net/
https://libre.town/thoughts/entry_7.xhtml,What is the Web Revival?,,unknown,2024-05-27,Lian,https://libre.town/
https://daught.me/blog/2024/indie-web/,"The ""IndieWeb"" feels like coming home",,2024-03-14,2024-04-29,Nathaniel Daught,https://daught.me/
https://ohhelloana.blog/just-get-a-website,You don't have to be a “content creator” to have a website.,,2024-03-14,2024-04-29,Ana Rodrigues,https://ohhelloana.blog/
https://hamatti.org/posts/on-content-creation-and-personal-web/,On content creation and personal web,,2024-03-16,2024-04-29,Juha-Matti Santala,https://hamatti.org/
https://rheenah.k.vu/blog/blog-are-cool,"Blogs are cool, actually",,2024-04-09,2024-04-29,Rina,https://rinet.biz/
https://thehistoryoftheweb.com/the-analog-web/,The Analog Web,,2024-04-16,2024-04-29,Jay Hoffmann,https://thehistoryoftheweb.com/
https://gersande.com/blog/blogs-are-dead/,Blogs Are Dead. Long Live Blogs!,,2023-03-26,2024-03-03,Gersande La Flèche,https://gersande.com/
https://cleverlaziness.xyz/posts/surfing-the-old-web/,Surfing the Old Web,,2023-01-11,2024-03-03,Juan Villela,https://juanvillela.dev/
https://mikegrindle.com/posts/personal-blogging,Why Personal Blogging Still Rules,,2023-04-12,2024-03-03,Mike Grindle,https://mikegrindle.com/
https://www.richard-dern.fr/blog/2022/01/21/l-informatique-c-etait-mieux-avant/,"L'informatique, c'était mieux avant (Computing was better before)",,2022-01-21,2024-03-03,Richard Dern,https://www.richard-dern.fr/
https://www.evalapply.org/posts/shite-the-static-sites-from-shell-part-1/index.html#main,shite: static sites from shell,,2022-03-08,2024-03-03,Aditya Athalye,https://www.evalapply.org/
https://system31.simone.computer/blog/desktops-zip,Desktops.zip - Some thoughts on websites that look like desktops,,2023-08-14,2024-03-03,Simone Marzulli,https://simone.computer/
https://dominik.net/reviving-ye-olde-personal-home-page.html,Reviving Ye Olde Personal Home Page,,2019-06-30,2024-03-03,Dominik Rabiej,https://dominik.net/
https://polymathematics.blog/2023/05/25/digital-homes-and-neighborhoods/,Digital Homes and Neighborhoods,,2023-05-23,2024-03-03,Jake Weber,https://jakeweber.net/
https://deephdave.com/2021/03/09/Game-of-Content.html,Game of Content,,2021-03-09,2024-03-03,Deep H. Dave,https://deephdave.com/
https://pointersgonewild.com/2022/01/19/the-internet-changed-my-life/,The Internet Changed My Life,,2022-01-19,2024-03-03,Maxime Chevalier-Boisvert,https://pointersgonewild.com/
https://garden.mattstein.com/notes/people-content-6-social-websites,Social Websites,,2024-02-06,2024-03-03,Matt Stein,https://mattstein.com/
https://rknight.me/blog/the-web-is-fantastic/,The Web is Fantastic,,2023-12-28,2024-03-03,Robb Knight,https://rknight.me/
https://matthiasott.com/articles/into-the-personal-website-verse,Into the Personal Website-Verse,,2019-05-12,2024-03-03,Matthias Ott,https://matthiasott.com/
https://ploum.net/2023-08-01-splitting-the-web.html,Splitting the Web,,2023-08-01,2024-03-03,Ploum,https://ploum.net/
https://deartalula.com/do-you-remember-the-internet-before-social-media/,Do You Remember the Internet Before Social Media?,,2022-02-19,2024-03-03,dear talula,https://deartalula.com/
https://yllekz.github.io/blog/blog-bookmarkrot.html,Blog Bookmark Rot,,2024-02-17,2024-03-03,Skelly,https://yllekz.github.io/
